rank,alpha,trainable_params,train_time_min,peak_vram_gb,eval_loss,eval_perplexity
8,16,15998976,11.936315019925436,5.220948992,1.1208890676498413,3.067580277669333
16,32,30965760,12.853255470593771,4.778187264,1.0797404050827026,2.943915226432685
64,128,120766464,12.72278534968694,7.160994816,1.0252158641815186,2.7876971595865565
